"Genome"	"rRNA_5S"	"rRNA_16S"	"rRNA_23S"	"tRNA"	"pass_GUNC"	"Completeness"	"Contamination"	"Heterogeneity"	"Contigs"	"N50"	"GC_content"	"Size"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Score"
"Sg_EA60_32"	1	0	0	6	"True"	70.91	1.32	0	791	2341	46.3	1676525	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Ruminococcus_C"	"s__Ruminococcus_C sp000433635"	64.31
"Sg_EA60_4"	0	0	0	3	"True"	56.4	3.48	40	536	2842	50.2	1393851	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Fusicatenibacter"	"s__Fusicatenibacter saccharivorans"	39
"Sg_EA60_5"	1	0	0	11	"False"	81.75	0.89	0	689	3177	59.4	1846722	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Evtepia"	"s__Evtepia gabavorous"	77.3
"Sg_EA60_6"	1	0	0	9	"True"	63.16	1.75	0	152	8935	26.6	1053836	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__RF39"	"f__UBA660"	"g__CAG-302"	"s__CAG-302 sp000431795"	54.41
"Sg_EA60_7"	1	0	0	12	"True"	87.69	3.75	25	617	2720	44.9	1489598	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__URXU01"	"s__"	68.94
"Sg_EA60_8"	0	0	0	18	"True"	94.3	1.38	33.33	385	7995	56.5	2294103	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Gemmiger"	"s__Gemmiger qucibialis"	87.4
"Sg_EA60_9"	0	0	0	12	"True"	84.29	1.28	75	488	5931	60.8	2348060	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	"g__Alistipes"	"s__Alistipes shahii"	77.89
"Sg_EA61_1"	1	0	0	11	"True"	95.91	1.73	80	383	8168	58.9	2313134	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Evtepia"	"s__Evtepia gabavorous"	87.26
"Sg_EA61_10"	2	0	0	10	"False"	51.72	0.86	100	421	6423	26.9	2307662	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Romboutsia"	"s__Romboutsia timonensis"	47.42
"Sg_EA61_11"	0	0	0	15	"True"	54.43	0.76	50	121	22156	45.5	1731637	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia_A"	"s__Blautia_A massiliensis"	50.63
"Sg_EA61_12"	0	0	0	10	"True"	56.9	0	0	286	5842	41.7	1290025	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Mediterraneibacter"	"s__Mediterraneibacter faecis"	56.9
"Sg_EA61_14"	1	0	0	9	"False"	76.39	1.99	30	811	3337	34.3	2350528	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Haloplasmatales"	"f__Turicibacteraceae"	"g__Turicibacter"	"s__Turicibacter sanguinis"	66.44
"Sg_EA61_15"	2	0	0	19	"True"	84.42	2.04	84	573	7706	51.4	3447769	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Escherichia"	"s__Escherichia coli"	74.22
"Sg_EA61_16"	0	0	0	10	"True"	61.74	0	0	341	8766	45.8	2436530	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia_A"	"s__Blautia_A sp900066145"	61.74
"Sg_EA61_17"	0	0	0	6	"False"	59.23	0	0	683	3825	28.4	2318118	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Intestinibacter"	"s__Intestinibacter bartlettii"	59.23
"Sg_EA61_18"	0	0	0	9	"True"	57.02	0	0	447	4243	49.4	1728915	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Fusicatenibacter"	"s__Fusicatenibacter saccharivorans"	57.02
"Sg_EA61_19"	0	0	0	13	"False"	85.86	2.58	14.29	581	3863	45.1	1784748	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Anaerotardibacter"	"s__Anaerotardibacter sp000435475"	72.96
"Sg_EA61_2"	1	0	0	19	"True"	96.71	0.8	0	365	9118	56.3	2395647	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Gemmiger"	"s__Gemmiger qucibialis"	92.71
"Sg_EA61_20"	1	0	0	20	"True"	81.33	1.59	25	198	19152	54.6	2507919	"d__Bacteria"	"p__Bacillota_B"	"c__Peptococcia"	"o__Peptococcales"	"f__Peptococcaceae"	"g__UMGS1590"	"s__UMGS1590 sp900552455"	73.38
"Sg_EA61_21"	0	0	0	15	"True"	68.42	0.86	100	211	10645	58.1	1599056	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella bouchesdurhonensis"	64.12
"Sg_EA61_22"	0	0	0	12	"True"	92.18	2.18	80	363	9232	44.5	2551267	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Coprococcus"	"s__Coprococcus eutactus_A"	81.28
"Sg_EA61_23"	0	0	0	11	"False"	56.46	8.77	40	359	8761	37.1	2646240	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Anaerobutyricum"	"s__Anaerobutyricum soehngenii"	12.61
"Sg_EA61_24"	0	0	0	15	"True"	90.78	4.16	30	682	3908	45.8	2195180	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Ruminococcus_C"	"s__Ruminococcus_C sp000433635"	69.98
"Sg_EA61_25"	2	0	0	11	"True"	98.43	1.96	50	141	23587	38.3	1849515	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__Eubacterium_R"	"s__Eubacterium_R sp000436835"	88.63
"Sg_EA61_26"	0	0	0	9	"True"	90.27	4.19	80	359	6819	37.5	1964357	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Anaerostipes"	"s__Anaerostipes hadrus"	69.32
"Sg_EA61_27"	1	1	0	21	"True"	99.73	0.89	50	89	47941	60.1	2190156	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__"	95.28
"Sg_EA61_28"	0	0	0	11	"True"	78.74	3.52	75	395	4766	62.6	1594763	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Vescimonas"	"s__Vescimonas sp900545585"	61.14
"Sg_EA61_29"	0	0	0	18	"True"	98.66	1.01	0	41	83959	41.3	1847804	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__Ruminococcus_E"	"s__Ruminococcus_E bromii_B"	93.61
"Sg_EA61_3"	0	0	0	18	"True"	99.29	0.14	100	73	50850	50.7	1856155	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Anaerovoracaceae"	"g__VUNA01"	"s__VUNA01 sp002299625"	98.59
"Sg_EA61_30"	1	0	0	14	"True"	87.9	2.04	100	462	7561	59.2	2392126	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Gemmiger"	"s__Gemmiger sp900540595"	77.7
"Sg_EA61_32"	0	0	0	12	"True"	75.63	0.47	100	460	6650	29	2419147	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Coprobacillaceae"	"g__Faecalibacillus"	"s__Faecalibacillus intestinalis"	73.28
"Sg_EA61_33"	0	0	0	20	"False"	63.55	1.5	7.14	402	3264	36.8	1171450	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__UBA4285"	"s__UBA4285 sp900545225"	56.05
"Sg_EA61_34"	0	0	0	5	"False"	53.76	3.45	0	625	2150	59.4	1271791	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__ER4"	"s__ER4 sp000765235"	36.51
"Sg_EA61_35"	0	0	0	9	"True"	62.25	8	20	878	2016	61.6	1670053	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__CAG-103"	"s__CAG-103 sp900757655"	22.25
"Sg_EA61_36"	0	0	0	14	"True"	50.64	0.86	0	1013	2617	66.8	2325993	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__UMGS124"	"g__JAHZGC01"	"s__"	46.34
"Sg_EA61_5"	1	0	0	6	"False"	64.59	1.2	25	1059	2124	38.1	2106184	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__UBA1381"	"f__UBA1381"	"g__CAG-41"	"s__CAG-41 sp900066215"	58.59
"Sg_EA61_6"	2	0	0	19	"True"	93.06	0	0	163	22970	26.7	2439453	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Clostridium"	"s__Clostridium sp900540255"	93.06
"Sg_EA61_7"	0	0	0	14	"True"	92.71	2.91	0	161	24633	46.3	2562704	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Oliverpabstia"	"s__Oliverpabstia faecicola"	78.16
"Sg_EA61_8"	0	0	0	14	"True"	73.58	0	0	139	10727	26.3	1084772	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__RF39"	"f__UBA660"	"g__CAG-302"	"s__CAG-302 sp934162325"	73.58
"Sg_EA61_9"	0	0	0	8	"False"	50.62	6.9	0	1566	2204	28	3592023	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Clostridiales"	"f__Clostridiaceae"	"g__Sarcina"	"s__"	16.12
"Sg_EA63_1"	2	0	0	22	"False"	100	0.97	0	121	33147	59.7	2330426	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella sp003439125"	95.15
"Sg_EA63_10"	0	0	0	6	"True"	76.06	2.04	83.33	365	5274	45.3	1629600	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Wujia"	"s__Wujia chipingensis"	65.86
"Sg_EA63_11"	0	0	0	11	"True"	66.6	0.88	100	446	7227	42.2	2436409	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia_A"	"s__Blautia_A wexlerae"	62.2
"Sg_EA63_12"	1	0	0	21	"True"	84.11	1.7	50	174	17687	60.8	1943745	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Faecalibacterium"	"s__Faecalibacterium prausnitzii_E"	75.61
"Sg_EA63_13"	0	0	0	21	"True"	96.11	0.14	100	84	55158	58.3	2866207	"d__Bacteria"	"p__Verrucomicrobiota"	"c__Verrucomicrobiae"	"o__Verrucomicrobiales"	"f__Akkermansiaceae"	"g__Akkermansia"	"s__Akkermansia muciniphila_B"	95.41
"Sg_EA63_14"	3	0	0	17	"True"	98.95	0	0	111	27560	44.2	2062263	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Ligilactobacillus"	"s__Ligilactobacillus ruminis"	98.95
"Sg_EA63_15"	3	0	0	20	"False"	88.72	2.04	100	517	7392	57.6	2570404	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Faecalibacterium"	"s__Faecalibacterium prausnitzii"	78.52
"Sg_EA63_16"	1	0	0	19	"False"	90.95	0.68	100	249	12986	60.8	2214835	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Gemmiger"	"s__Gemmiger formicilis"	87.55
"Sg_EA63_17"	0	0	0	12	"False"	61.72	3.51	66.67	524	7004	37.3	2871136	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Anaerobutyricum"	"s__Anaerobutyricum soehngenii"	44.17
"Sg_EA63_18"	0	0	0	8	"True"	79.68	3.62	12.5	497	5599	44.1	2270047	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Coprococcus_A"	"s__Coprococcus_A catus_A"	61.58
"Sg_EA63_19"	0	0	0	21	"True"	99.52	0.82	33.33	108	54159	41.3	2956141	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Agathobacter"	"s__Agathobacter rectalis"	95.42
"Sg_EA63_2"	1	0	0	14	"True"	81.43	0.97	12.5	594	5935	46.9	2796110	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Prevotella"	"s__Prevotella rara"	76.58
"Sg_EA63_20"	0	0	0	13	"True"	86.18	3.02	40	369	6237	61.9	1851338	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__CAG-103"	"s__CAG-103 sp900543625"	71.08
"Sg_EA63_21"	0	0	0	8	"False"	67.82	0	0	541	3319	35.3	1530455	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Lactococcus"	"s__Lactococcus lactis"	67.82
"Sg_EA63_22"	0	0	0	11	"False"	68.37	3.57	14.29	573	3930	43.7	2043783	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia_A"	"s__Blautia_A faecis"	50.52
"Sg_EA63_23"	1	0	0	17	"True"	92.65	1.7	25	403	8147	52.5	2327629	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Ruminococcus_C"	"s__Ruminococcus_C sp000980705"	84.15
"Sg_EA63_24"	1	0	0	20	"True"	96.53	1.78	20	136	26818	54.9	2118640	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	"g__Alistipes"	"s__Alistipes putredinis"	87.63
"Sg_EA63_25"	2	0	0	14	"True"	89.48	1.57	66.67	303	9655	55.5	2224352	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Butyricicoccaceae"	"g__Agathobaculum"	"s__Agathobaculum butyriciproducens"	81.63
"Sg_EA63_26"	1	0	0	21	"True"	99.44	1.96	20	128	28483	64.3	2259716	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__CAAEEV01"	"s__CAAEEV01 sp900754955"	89.64
"Sg_EA63_27"	0	0	0	7	"True"	71	0	0	379	5017	42.2	1608662	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Streptococcus"	"s__Streptococcus sp902836505"	71
"Sg_EA63_28"	0	0	0	17	"False"	96.89	1.11	66.67	147	29257	48.6	2764355	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Fusicatenibacter"	"s__Fusicatenibacter saccharivorans"	91.34
"Sg_EA63_29"	0	0	0	16	"True"	90.44	0.32	0	110	33657	45.1	2629627	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Blautia_A"	"s__Blautia_A massiliensis"	88.84
"Sg_EA63_3"	1	0	0	16	"True"	74.06	0	0	341	5136	44.9	1519974	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Anaerotardibacter"	"s__Anaerotardibacter sp000435475"	74.06
"Sg_EA63_30"	1	0	0	18	"True"	74.54	4.14	0	101	22874	26.6	1506531	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__TANB77"	"f__CAG-508"	"g__CAG-269"	"s__CAG-269 sp000437215"	53.84
"Sg_EA63_31"	0	0	0	18	"True"	97.99	1.34	0	109	37272	36.9	2732462	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Anaerostipes"	"s__Anaerostipes hadrus"	91.29
"Sg_EA63_32"	2	0	0	21	"True"	96.86	1.45	83.33	193	38520	43.4	4805589	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Bacteroides"	"s__Bacteroides fragilis"	89.61
"Sg_EA63_33"	0	0	0	10	"False"	57.6	0.88	100	497	4631	45.2	1983157	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__CAG-95"	"s__CAG-95 sp000438155"	53.2
"Sg_EA63_34"	1	0	0	4	"True"	51.12	1.48	25	541	1611	28.3	901390	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Peptostreptococcales"	"f__Peptostreptococcaceae"	"g__Romboutsia"	"s__Romboutsia timonensis"	43.72
"Sg_EA63_35"	0	0	0	13	"False"	61.77	3.43	60	869	2044	55.4	1676636	"d__Bacteria"	"p__Bacillota_B"	"c__Peptococcia"	"o__Peptococcales"	"f__Peptococcaceae"	"g__UMGS1590"	"s__UMGS1590 sp900552455"	44.62
"Sg_EA63_36"	0	0	0	6	"True"	66.03	3.36	40	728	2278	62	1505308	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Vescimonas"	"s__Vescimonas sp003487665"	49.23
"Sg_EA63_4"	0	0	0	17	"False"	60.72	3.02	40	558	6075	37.9	2663210	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Anaerobutyricum"	"s__Anaerobutyricum hallii"	45.62
"Sg_EA63_5"	0	0	0	18	"True"	92.03	2.71	60	189	16835	49.6	1893459	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Christensenellales"	"f__CAG-138"	"g__PeH17"	"s__PeH17 sp000435055"	78.48
"Sg_EA63_6"	1	0	0	18	"True"	97.99	1.34	0	97	52802	38.3	2987502	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__UBA1381"	"f__UBA1381"	"g__CAG-41"	"s__CAG-41 sp900066215"	91.29
"Sg_EA63_7"	3	0	0	20	"True"	97.32	0	0	41	91701	53.4	1984612	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__CAG-217"	"s__CAG-217 sp000436335"	97.32
"Sg_EA63_8"	1	0	0	18	"True"	80.22	1.91	63.64	239	6962	56.6	1532392	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"s__Bifidobacterium pseudocatenulatum"	70.67
"Sg_EA63_9"	3	0	0	12	"True"	89.36	4.06	75	619	3339	45.1	1741495	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Lactobacillaceae"	"g__Weissella"	"s__Weissella confusa"	69.06
"Sg_EA68_1"	1	0	0	10	"True"	88.74	3.19	83.33	581	4403	59.4	2065623	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Evtepia"	"s__Evtepia gabavorous"	72.79
"Sg_EA68_10"	0	0	0	12	"False"	80.83	2.91	42.86	789	6908	37	4708451	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Anaerobutyricum"	"s__Anaerobutyricum hallii"	66.28
"Sg_EA68_11"	0	0	0	17	"True"	71.32	1.69	66.67	399	3430	60.6	1303576	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"s__Collinsella sp002232035"	62.87
"Sg_EA68_12"	1	0	0	8	"True"	76.33	2.49	40	392	4646	34.1	1530748	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Erysipelotrichales"	"f__Erysipelotrichaceae"	"g__Holdemanella"	"s__Holdemanella biformis"	63.88
"Sg_EA68_13"	1	0	0	19	"True"	65.97	5.84	83.33	366	6409	61.1	1843010	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Faecalibacterium"	"s__Faecalibacterium prausnitzii_E"	36.77
"Sg_EA68_14"	3	0	0	14	"False"	99.62	1.22	66.67	55	68101	38.4	1887376	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Lactococcus"	"s__Lactococcus petauri"	93.52
"Sg_EA68_15"	1	0	0	14	"True"	97.17	0.86	50	212	20712	43.3	2555793	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Ruminococcus_D"	"s__Ruminococcus_D bicirculans"	92.87
"Sg_EA68_16"	0	0	0	16	"True"	87.43	0.7	66.67	234	11505	42.8	1970790	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Agathobacter"	"s__Agathobacter rectalis"	83.93
"Sg_EA68_17"	2	0	0	6	"True"	53.95	5.37	0	736	1774	54.4	1300464	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Acutalibacteraceae"	"g__UBA1417"	"s__UBA1417 sp003531055"	27.1
"Sg_EA68_18"	0	0	0	17	"True"	99.33	0.86	0	164	30461	42	3299524	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Coprococcus"	"s__Coprococcus eutactus"	95.03
"Sg_EA68_19"	0	0	0	16	"True"	90.54	4.2	57.14	378	4871	31.4	1563961	"d__Archaea"	"p__Methanobacteriota"	"c__Methanobacteria"	"o__Methanobacteriales"	"f__Methanobacteriaceae"	"g__Methanobrevibacter_A"	"s__Methanobrevibacter_A smithii"	69.54
"Sg_EA68_2"	0	0	0	15	"True"	97.08	0	0	121	25991	41	2521210	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Mediterraneibacter"	"s__Mediterraneibacter faecis"	97.08
"Sg_EA68_20"	0	0	0	19	"True"	98.25	2	14.29	79	57601	43.8	2764177	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Agathobacter"	"s__Agathobacter faecis"	88.25
"Sg_EA68_21"	1	0	0	14	"False"	69.86	0.67	50	963	2307	63.4	2072515	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Adlercreutzia"	"s__Adlercreutzia equolifaciens"	66.51
"Sg_EA68_23"	0	0	0	8	"False"	78.26	2.66	14.29	613	2934	56.2	1529687	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Rikenellaceae"	"g__Alistipes"	"s__Alistipes putredinis"	64.96
"Sg_EA68_24"	1	0	0	16	"True"	91.17	1.21	0	335	7478	49.6	1851978	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Christensenellales"	"f__CAG-138"	"g__PeH17"	"s__PeH17 sp000435055"	85.12
"Sg_EA68_25"	0	0	0	11	"False"	60.74	0	0	385	5451	36	1709245	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Lachnospira"	"s__Lachnospira rogosae"	60.74
"Sg_EA68_26"	3	0	0	22	"True"	96.41	0.6	0	125	28174	45.2	1977293	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Anaerotardibacter"	"s__Anaerotardibacter sp000435475"	93.41
"Sg_EA68_27"	0	0	0	9	"True"	78.3	2.49	22.22	629	2630	48.5	1488587	"d__Bacteria"	"p__Bacillota_C"	"c__Negativicutes"	"o__Acidaminococcales"	"f__Acidaminococcaceae"	"g__Phascolarctobacterium_A"	"s__Phascolarctobacterium_A succinatutens"	65.85
"Sg_EA68_28"	0	0	0	10	"True"	92.94	0.34	100	177	18726	44.9	2345635	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Lachnospirales"	"f__Lachnospiraceae"	"g__Wujia"	"s__Wujia chipingensis"	91.24
"Sg_EA68_29"	0	0	0	12	"True"	89.26	4.53	44.44	497	5476	52.8	2142404	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Ruminococcaceae"	"g__Ruminococcus_C"	"s__Ruminococcus_C sp000980705"	66.61
"Sg_EA68_3"	0	0	0	6	"True"	62.54	0	0	518	2482	63.8	1157690	"d__Bacteria"	"p__Bacillota_A"	"c__Clostridia"	"o__Oscillospirales"	"f__Oscillospiraceae"	"g__Vescimonas"	"s__Vescimonas sp001916855"	62.54
"Sg_EA68_30"	1	0	0	16	"True"	85.06	6.13	81.16	1404	2852	51.1	3549698	"d__Bacteria"	"p__Pseudomonadota"	"c__Gammaproteobacteria"	"o__Enterobacterales"	"f__Enterobacteriaceae"	"g__Escherichia"	"s__Escherichia coli"	54.41
"Sg_EA68_32"	0	0	0	12	"False"	62.92	8.81	24.14	1364	1770	45.9	2378942	"d__Bacteria"	"p__Bacteroidota"	"c__Bacteroidia"	"o__Bacteroidales"	"f__Bacteroidaceae"	"g__Prevotella"	"s__Prevotella sp015074785"	18.87
"Sg_EA68_4"	1	0	0	14	"True"	98.47	0.79	66.67	104	32872	34.9	2184533	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Lactobacillales"	"f__Streptococcaceae"	"g__Lactococcus"	"s__Lactococcus lactis"	94.52
